id,user_id,task_title,section_title,subsection_title,completed_at,created_at
067f94fb-51dc-43fd-99ad-30f73e8ffe35,c9b23c95-09e5-412e-b480-e18350db62f2,Midterm,MSADI,DATA 266,2025-10-28 01:00:24.227997+00,2025-10-28 01:00:24.227997+00
070eda58-e22a-41ba-b7d0-f2eb25bdd0b5,fcca47ad-56ff-48fe-a6d6-5baec2db2bf0,Downstairs sweep,Home Management,Home,2025-11-02 20:02:43.909677+00,2025-11-02 20:02:43.909677+00
0875324c-4367-41d5-ad16-cce3d4a8bad8,c9b23c95-09e5-412e-b480-e18350db62f2,Lab 1,MSADI,DATA 266,2025-10-13 21:17:58.906203+00,2025-10-13 21:17:58.906203+00
0ae5ce5a-1fe9-48b9-b790-421b5fb5184c,c9b23c95-09e5-412e-b480-e18350db62f2,Lora,Review,266,2025-11-11 02:14:20.61721+00,2025-11-11 02:14:20.61721+00
0bd708d0-10e3-4c4a-b6a9-79af482ecd22,c9b23c95-09e5-412e-b480-e18350db62f2,Halloween,Other,Plans,2025-10-28 22:50:41.355109+00,2025-10-28 22:50:41.355109+00
12fbebde-ceba-43e8-aef9-09c8f20127ca,c9b23c95-09e5-412e-b480-e18350db62f2,checkin about position,Job Apps,Shasta,2025-10-28 22:50:11.151458+00,2025-10-28 22:50:11.151458+00
1533fd70-8928-4ed9-aabc-3cea1dfb477f,16442b9c-02a7-408c-9231-2979e5f0d164,Reading 1,MCB 144,Readings,2025-11-01 04:46:53.24538+00,2025-11-01 04:46:53.24538+00
168d8eb8-671e-42c7-9eec-5adc85b79684,c9b23c95-09e5-412e-b480-e18350db62f2,HW 9,MSADI,DATA 266,2025-11-10 22:17:37.058791+00,2025-11-10 22:17:37.058791+00
1729e612-748d-429b-ab96-3ccf459f68f7,16442b9c-02a7-408c-9231-2979e5f0d164,Reading 3,MCB 144,Readings,2025-11-01 04:46:53.24538+00,2025-11-01 04:46:53.24538+00
19009a8e-0f1b-4bc7-9323-b3ada3a1ad92,c9b23c95-09e5-412e-b480-e18350db62f2,Multimodal LLMs,Review,266,2025-11-25 02:28:32.140676+00,2025-11-25 02:28:32.140676+00
196b4a47-c1e3-4a53-9678-ca65d385dcff,c9b23c95-09e5-412e-b480-e18350db62f2,Project Peer Reviews,MSADI,DATA 266,2025-12-12 20:15:37.549286+00,2025-12-12 20:15:37.549286+00
1b1e8e9e-e2b0-4ae7-8e63-7fe1172ea628,16442b9c-02a7-408c-9231-2979e5f0d164,Reading 2,MCB 144,Readings,2025-11-01 04:46:53.24538+00,2025-11-01 04:46:53.24538+00
1bcba045-c9a4-45df-86b4-30c7a6b78552,efc91dd3-4769-415c-b080-109891814e5b,Team sync,Work / School,Meetings / Classes,2025-10-07 02:40:26.400887+00,2025-10-07 02:40:26.400887+00
3075a269-85b6-4859-abe9-0cab64e8ab3e,c9b23c95-09e5-412e-b480-e18350db62f2,send resume,Job Apps,Poonam,2025-10-08 23:34:48.93716+00,2025-10-08 23:34:48.93716+00
314066fc-9492-4287-ae57-58c59badb894,c9b23c95-09e5-412e-b480-e18350db62f2,Ass. Dev,Job Apps,Daanish,2025-11-01 19:13:57.575255+00,2025-11-01 19:13:57.575255+00
34307bd6-0468-4c0a-8fbe-a057f9e1886c,c9b23c95-09e5-412e-b480-e18350db62f2,Lab 2-3,MSADI,DATA 266,2025-11-24 10:17:56.468056+00,2025-11-24 10:17:56.468056+00
3690b279-41dd-497d-a72c-c3688cd910d1,c9b23c95-09e5-412e-b480-e18350db62f2,HW 7,MSADI,DATA 266,2025-10-28 06:33:06.00482+00,2025-10-28 06:33:06.00482+00
3aa29c29-90d0-4fc0-9ab8-373dced4163a,c9b23c95-09e5-412e-b480-e18350db62f2,Respond,Job Apps,Shasta,2025-11-08 01:47:51.940829+00,2025-11-08 01:47:51.940829+00
3ad3fcdb-d45c-44c5-8b7f-9edd480621d2,c9b23c95-09e5-412e-b480-e18350db62f2,Project Call,MSADI,DATA 266,2025-11-13 09:39:40.583298+00,2025-11-13 09:39:40.583298+00
3eb5c52f-0b22-48bb-b3d6-b6dee6d20778,16442b9c-02a7-408c-9231-2979e5f0d164,GUDCA,Lab,Research Bugs,2025-11-01 04:46:29.739684+00,2025-11-01 04:46:29.739684+00
403b0080-de89-4a41-8047-faf6d50719de,c9b23c95-09e5-412e-b480-e18350db62f2,SOTEs,MSADI,DATA 266,2025-12-09 00:07:24.745468+00,2025-12-09 00:07:24.745468+00
4163148f-e360-48ee-b509-347ce05fb775,c9b23c95-09e5-412e-b480-e18350db62f2,HW 8,MSADI,DATA 266,2025-10-29 10:48:45.746721+00,2025-10-29 10:48:45.746721+00
42de5bf6-332b-4f64-b561-74f21271f95c,c9b23c95-09e5-412e-b480-e18350db62f2,Jerry,Job Apps,Aai,2025-10-24 06:42:12.967365+00,2025-10-24 06:42:12.967365+00
43771edc-5084-4746-8576-c46aa4caedf5,c9b23c95-09e5-412e-b480-e18350db62f2,SOTEs,MSADI,DATA 255,2025-12-09 00:07:11.10413+00,2025-12-09 00:07:11.10413+00
462a19fe-59e6-4c09-8e88-868307dca56d,c9b23c95-09e5-412e-b480-e18350db62f2,Transformers,Review,266,2025-10-28 00:33:28.641685+00,2025-10-28 00:33:28.641685+00
4cb51ebe-8b11-49b0-8391-5fdd66e6ea44,c9b23c95-09e5-412e-b480-e18350db62f2,SOTEs,MSADI,DATA 298A,2025-12-09 00:07:28.638307+00,2025-12-09 00:07:28.638307+00
4f58bdf5-b028-47cd-a9cb-cd9b46fb7d38,c9b23c95-09e5-412e-b480-e18350db62f2,Game Night,Other,Samik,2025-11-16 20:57:37.440132+00,2025-11-16 20:57:37.440132+00
4f68e793-67b1-4c30-973e-01d982b37e71,c9b23c95-09e5-412e-b480-e18350db62f2,15,Review,266,2025-12-11 02:58:59.671813+00,2025-12-11 02:58:59.671813+00
4f77603e-5237-4d2f-baa3-c8da24490f9e,c9b23c95-09e5-412e-b480-e18350db62f2,HW 2,MSADI,DATA 255,2025-10-13 06:01:35.492652+00,2025-10-13 06:01:35.492652+00
50b09bd7-fe62-4a50-a70a-0ee94c16158b,fcca47ad-56ff-48fe-a6d6-5baec2db2bf0,Costco Insurance,Finances,Sridhar,2025-11-02 19:38:33.757059+00,2025-11-02 19:38:33.757059+00
527d2a63-9839-4bb6-8a4e-6ec362680ac3,c9b23c95-09e5-412e-b480-e18350db62f2,HW11,MSADI,DATA 266,2025-11-24 10:18:01.346585+00,2025-11-24 10:18:01.346585+00
531d0b0f-36c3-48a6-9d02-750497b8d0a3,c9b23c95-09e5-412e-b480-e18350db62f2,send reminder,Job Apps,Shasta,2025-11-03 21:40:20.843824+00,2025-11-03 21:40:20.843824+00
53b1984f-0e89-4a5d-befe-f0f33ee230f7,c9b23c95-09e5-412e-b480-e18350db62f2,GANs,Review,255,2025-12-12 06:39:14.521346+00,2025-12-12 06:39:14.521346+00
559cc4bc-a30e-4073-ae7e-720944dffe0d,c9b23c95-09e5-412e-b480-e18350db62f2,Quiz 3,MSADI,DATA 266,2025-11-11 02:13:54.38535+00,2025-11-11 02:13:54.38535+00
56f87e8e-451e-4d13-95cb-6d355efbeef6,c9b23c95-09e5-412e-b480-e18350db62f2,Progress Presentation,MSADI,DATA 255,2025-11-05 00:01:25.441716+00,2025-11-05 00:01:25.441716+00
5724ef05-ca60-444c-b57a-8243dd50b56d,c9b23c95-09e5-412e-b480-e18350db62f2,DS Assessment,Job Apps,Daanish,2025-11-01 04:37:41.824774+00,2025-11-01 04:37:41.824774+00
58ad218b-4508-4565-b053-6f96ac8fab4d,c9b23c95-09e5-412e-b480-e18350db62f2,Send Response to 2 emails,Other,CHYK,2025-11-05 00:20:19.035856+00,2025-11-05 00:20:19.035856+00
59524878-6af8-4b4a-8f07-19efa100023c,16442b9c-02a7-408c-9231-2979e5f0d164,Reading 6,MCB 144,Readings,2025-11-01 04:46:53.24538+00,2025-11-01 04:46:53.24538+00
5b42838e-1c4f-4761-8eee-1af4928bff02,c9b23c95-09e5-412e-b480-e18350db62f2,Stable Diffusion,Review,266,2025-10-28 00:33:19.92368+00,2025-10-28 00:33:19.92368+00
60a72376-0cad-417b-9758-25f4081f1189,c9b23c95-09e5-412e-b480-e18350db62f2,AE-VAE-GAN,Review,266,2025-10-28 00:33:22.696634+00,2025-10-28 00:33:22.696634+00
60b2cb43-897f-4a69-90a3-d2146f6930e1,c9b23c95-09e5-412e-b480-e18350db62f2,Figma mockups,Other,PromptOne,2025-12-01 04:06:09.874239+00,2025-12-01 04:06:09.874239+00
62d8b175-1db2-434c-9e25-71c19b1d0c05,c9b23c95-09e5-412e-b480-e18350db62f2,4,Review,266,2025-12-11 02:58:59.671813+00,2025-12-11 02:58:59.671813+00
6d650916-ec90-4f35-bb6a-f6862ae50851,c9b23c95-09e5-412e-b480-e18350db62f2,1,Review,266,2025-12-11 02:58:59.671813+00,2025-12-11 02:58:59.671813+00
70ad056d-1f14-4e62-949d-dd7f91d8c782,c9b23c95-09e5-412e-b480-e18350db62f2,NLP,Review,255,2025-12-12 06:39:14.521346+00,2025-12-12 06:39:14.521346+00
71a55d4b-8e46-4174-a31b-d936295f8b97,c9b23c95-09e5-412e-b480-e18350db62f2,Data Engr,Job Apps,Shasta,2025-10-20 15:17:49.532851+00,2025-10-20 15:17:49.532851+00
759a9ea0-7ac5-4e34-838c-7491608663e7,c9b23c95-09e5-412e-b480-e18350db62f2,RAGs,Review,266,2025-11-11 02:14:23.055225+00,2025-11-11 02:14:23.055225+00
77803300-c520-4251-bf6f-6e5ed83a8949,fcca47ad-56ff-48fe-a6d6-5baec2db2bf0,Get appointment,Finances,Sridhar,2025-11-02 19:37:42.197351+00,2025-11-02 19:37:42.197351+00
77819cca-615d-44c8-a69a-2f5f378dee0f,c9b23c95-09e5-412e-b480-e18350db62f2,1 â€“ 5,Job Apps,Aai,2025-10-07 02:15:48.388967+00,2025-10-07 02:15:48.388967+00
79f8ff50-c0e2-4936-996a-5242f06c893f,c9b23c95-09e5-412e-b480-e18350db62f2,ANNs,Review,255,2025-10-20 15:17:29.241382+00,2025-10-20 15:17:29.241382+00
7a2a9167-ad21-48bd-af8b-63fc9877863f,c9b23c95-09e5-412e-b480-e18350db62f2,BERT-GPT,Review,266,2025-10-28 00:33:25.055916+00,2025-10-28 00:33:25.055916+00
8151cfef-5ffd-4947-bab8-adca346cda2c,c9b23c95-09e5-412e-b480-e18350db62f2,Schedule Eye Exam,Other,Kaiser,2025-12-19 02:39:49.518019+00,2025-12-19 02:39:49.518019+00
846a8827-3d7c-47b9-85c1-b491681484cf,c9b23c95-09e5-412e-b480-e18350db62f2,Team Meeting 2,MSADI,DATA 298A,2025-11-06 22:26:59.428372+00,2025-11-06 22:26:59.428372+00
8704904d-2ede-406a-8d93-76f448b0f208,c9b23c95-09e5-412e-b480-e18350db62f2,Justify choices for report,MSADI,DATA 266,2025-11-25 02:28:39.534119+00,2025-11-25 02:28:39.534119+00
878c9827-73d2-4d47-9813-eea309027a4c,c9b23c95-09e5-412e-b480-e18350db62f2,Lab 2-1,MSADI,DATA 266,2025-11-25 02:28:42.664808+00,2025-11-25 02:28:42.664808+00
889361f6-3b52-429d-bf30-dfd0ac5594b5,c9b23c95-09e5-412e-b480-e18350db62f2,Presentation,MSADI,DATA 298A,2025-12-10 02:21:04.512645+00,2025-12-10 02:21:04.512645+00
8ec14567-030a-4927-b3d0-271611c144e5,c9b23c95-09e5-412e-b480-e18350db62f2,10,Review,266,2025-12-11 02:58:59.671813+00,2025-12-11 02:58:59.671813+00
90131528-3108-479e-800d-05bf7afdf795,c9b23c95-09e5-412e-b480-e18350db62f2,Project work,MSADI,DATA 266,2025-12-06 06:41:43.879449+00,2025-12-06 06:41:43.879449+00
90989c22-ed04-41d9-a946-d195ffc0753d,c9b23c95-09e5-412e-b480-e18350db62f2,Bounding boxes fr,MSADI,DATA 255,2025-11-03 11:10:35.795872+00,2025-11-03 11:10:35.795872+00
91908f6a-4188-4937-b6ea-53a04453ccf5,c9b23c95-09e5-412e-b480-e18350db62f2,7,Review,266,2025-12-11 02:58:59.671813+00,2025-12-11 02:58:59.671813+00
94566d3c-2827-4a75-a714-48c940c0fd88,c9b23c95-09e5-412e-b480-e18350db62f2,setup JIRA,MSADI,DATA 298A,2025-10-30 20:22:57.376797+00,2025-10-30 20:22:57.376797+00
979eb3a2-3c04-4a9a-abc1-cd876739603e,c9b23c95-09e5-412e-b480-e18350db62f2,Project Report,MSADI,DATA 255,2025-12-09 05:01:31.642918+00,2025-12-09 05:01:31.642918+00
9bb7d242-5cd7-4119-b82a-ea22bdb33d63,c9b23c95-09e5-412e-b480-e18350db62f2,Apps Page,Other,PromptOne,2025-12-09 05:02:33.78145+00,2025-12-09 05:02:33.78145+00
9be1a6e4-828a-4e2c-9cb1-14885583d340,c9b23c95-09e5-412e-b480-e18350db62f2,Lab2 Q3,MSADI,DATA 266,2025-11-16 20:57:50.922981+00,2025-11-16 20:57:50.922981+00
9bf6b936-f5f4-48fc-b1ba-77a5d33578cc,c9b23c95-09e5-412e-b480-e18350db62f2,Project Presentation,MSADI,DATA 255,2025-12-02 23:43:19.108991+00,2025-12-02 23:43:19.108991+00
a8379727-fc35-4afe-9efc-eab87a5ceda8,c9b23c95-09e5-412e-b480-e18350db62f2,Progress Report II,MSADI,DATA 298A,2025-10-24 06:44:26.514933+00,2025-10-24 06:44:26.514933+00
a965c2b5-9882-40d8-8474-e217294a8611,c9b23c95-09e5-412e-b480-e18350db62f2,ANN,Review,255,2025-12-12 06:39:14.521346+00,2025-12-12 06:39:14.521346+00
ad60d53a-8d51-46bc-a672-055a8cd95096,c9b23c95-09e5-412e-b480-e18350db62f2,HW 3,MSADI,DATA 255,2025-11-13 09:39:14.905008+00,2025-11-13 09:39:14.905008+00
aea0edab-b653-4449-8a10-201dd773146c,c9b23c95-09e5-412e-b480-e18350db62f2,13,Review,266,2025-12-11 02:58:59.671813+00,2025-12-11 02:58:59.671813+00
afa4a2ec-f6f1-4fce-b4b7-b65779d02f68,c9b23c95-09e5-412e-b480-e18350db62f2,12,Review,266,2025-12-11 02:58:59.671813+00,2025-12-11 02:58:59.671813+00
b0cac7ef-7c69-43a6-9fe6-5f6f2c39f60b,c9b23c95-09e5-412e-b480-e18350db62f2,Project Presentation,MSADI,DATA 266,2025-12-09 00:07:20.813171+00,2025-12-09 00:07:20.813171+00
b178162c-4e16-41a1-b4b3-0e3cafc753fb,16442b9c-02a7-408c-9231-2979e5f0d164,Reading 7,MCB 144,Readings,2025-11-01 04:46:53.24538+00,2025-11-01 04:46:53.24538+00
b2f2feb5-30ff-4082-9745-29054753d02e,c9b23c95-09e5-412e-b480-e18350db62f2,Bounding Boxes,MSADI,DATA 255,2025-11-01 02:47:50.120527+00,2025-11-01 02:47:50.120527+00
b3b62f0d-c394-4b23-b168-c67600966912,c9b23c95-09e5-412e-b480-e18350db62f2,HW 10,MSADI,DATA 266,2025-11-17 23:36:36.794726+00,2025-11-17 23:36:36.794726+00
b3c65cbb-9945-45b7-862e-8c05fc18748f,c9b23c95-09e5-412e-b480-e18350db62f2,Bounding Boxes 2,MSADI,DATA 255,2025-11-16 20:57:34.013341+00,2025-11-16 20:57:34.013341+00
b8e8ea5c-cd8b-483c-88e1-449bb6a1f1b9,c9b23c95-09e5-412e-b480-e18350db62f2,Midterm,MSADI,DATA 255,2025-10-20 15:17:05.156757+00,2025-10-20 15:17:05.156757+00
bbd7d522-a713-48c1-b019-0ab9e0728825,c9b23c95-09e5-412e-b480-e18350db62f2,Quiz 4,MSADI,DATA 266,2025-11-25 02:28:45.558023+00,2025-11-25 02:28:45.558023+00
bd6443e6-4787-4938-882c-ac29174cea7b,c9b23c95-09e5-412e-b480-e18350db62f2,Data Engr,Job Apps,Daanish,2025-10-28 23:05:19.131585+00,2025-10-28 23:05:19.131585+00
c0232ac3-7f4a-4bf8-a97d-ecdb86178f5b,c9b23c95-09e5-412e-b480-e18350db62f2,HW 1,MSADI,DATA 255,2025-10-26 07:34:23.511531+00,2025-10-26 07:34:23.511531+00
c104f818-a8f3-4e8a-9609-6db1ddc1584e,c9b23c95-09e5-412e-b480-e18350db62f2,Project Abstract,MSADI,DATA 266,2025-10-31 04:53:13.791365+00,2025-10-31 04:53:13.791365+00
c13151a6-e82d-4652-90d0-1a030d4cf67b,c9b23c95-09e5-412e-b480-e18350db62f2,Project Report,MSADI,DATA 266,2025-12-09 00:07:16.308187+00,2025-12-09 00:07:16.308187+00
c16586d4-5816-497b-ba2f-539ce16735bb,c9b23c95-09e5-412e-b480-e18350db62f2,14,Review,266,2025-12-11 02:58:59.671813+00,2025-12-11 02:58:59.671813+00
c170ee77-f285-4d0e-9ca5-afcdedb39fb4,fcca47ad-56ff-48fe-a6d6-5baec2db2bf0,DIshwasher,Home,Home,2025-11-02 19:38:44.362729+00,2025-11-02 19:38:44.362729+00
c1c3fce8-8589-4b80-8f85-992c117adbe9,c9b23c95-09e5-412e-b480-e18350db62f2,HW 12,MSADI,DATA 266,2025-12-01 23:14:17.038027+00,2025-12-01 23:14:17.038027+00
c259ead5-9956-46ff-8fb5-93d8857a7063,c9b23c95-09e5-412e-b480-e18350db62f2,send resume,Job Apps,Poonam,2025-10-08 20:09:51.643556+00,2025-10-08 20:09:51.643556+00
c8d5a272-01ea-4e9b-8786-33d6b09bfc24,c9b23c95-09e5-412e-b480-e18350db62f2,11,Review,266,2025-12-11 02:58:59.671813+00,2025-12-11 02:58:59.671813+00
c920d783-515c-4f89-8df7-d7e96877ca89,c9b23c95-09e5-412e-b480-e18350db62f2,Workshop,Other,JCHYK,2025-12-03 10:07:34.248694+00,2025-12-03 10:07:34.248694+00
cb36035f-0461-495e-b5be-93b85b516a38,c9b23c95-09e5-412e-b480-e18350db62f2,CNNS,Review,255,2025-10-20 15:17:26.61001+00,2025-10-20 15:17:26.61001+00
cf4a0559-c496-4360-ad48-b0e1cb59eec3,c9b23c95-09e5-412e-b480-e18350db62f2,Workbook 2,MSADI,DATA 298A,2025-11-06 08:50:44.304142+00,2025-11-06 08:50:44.304142+00
d15fbc62-8d60-4180-af50-3ea32a4d8d00,c9b23c95-09e5-412e-b480-e18350db62f2,Diffusion,Review,266,2025-10-28 00:33:31.213131+00,2025-10-28 00:33:31.213131+00
d2004ef3-9f91-433d-85ed-9dc07c5dd030,c9b23c95-09e5-412e-b480-e18350db62f2,dfegr,Projects,FitSense,2025-10-07 05:39:23.506814+00,2025-10-07 05:39:23.506814+00
d283335c-7add-4790-85d3-08c52f102069,c9b23c95-09e5-412e-b480-e18350db62f2,Website tasks,Other,CHYK,2025-10-31 03:24:37.30304+00,2025-10-31 03:24:37.30304+00
d4d981cd-8460-465d-abc6-9cb6092fe86e,c9b23c95-09e5-412e-b480-e18350db62f2,HW 6,MSADI,DATA 266,2025-10-11 23:37:00.221923+00,2025-10-11 23:37:00.221923+00
d5b2f50a-85aa-427b-a67f-a9aef9c1340c,c9b23c95-09e5-412e-b480-e18350db62f2,HW4-1,MSADI,DATA 255,2025-12-07 04:04:55.379511+00,2025-12-07 04:04:55.379511+00
d9e338b5-f382-4785-a567-8c55817263b0,c9b23c95-09e5-412e-b480-e18350db62f2,Research Models,MSADI,DATA 255,2025-10-08 23:35:08.09753+00,2025-10-08 23:35:08.09753+00
db0e50f7-a10a-4e3a-b3e9-ac87d4c528c3,c9b23c95-09e5-412e-b480-e18350db62f2,App Dev,Job Apps,Daanish,2025-11-01 19:13:54.623564+00,2025-11-01 19:13:54.623564+00
dba7d34f-8494-416e-8e01-a978594bad88,c9b23c95-09e5-412e-b480-e18350db62f2,sc of fights,MSADI,DATA 255,2025-10-30 07:07:36.241809+00,2025-10-30 07:07:36.241809+00
e350d6cb-b4d2-4e7b-beb6-99e775d3122e,16442b9c-02a7-408c-9231-2979e5f0d164,Reading 5,MCB 144,Readings,2025-11-01 04:46:53.24538+00,2025-11-01 04:46:53.24538+00
e553e4e3-50b4-4775-9cec-f41a1946a1a9,c9b23c95-09e5-412e-b480-e18350db62f2,3,Review,266,2025-12-11 02:58:59.671813+00,2025-12-11 02:58:59.671813+00
eb0e54ce-9581-4a0a-b74e-90d43feb95a0,16442b9c-02a7-408c-9231-2979e5f0d164,Reading 8 & 9,MCB 144,Readings,2025-11-01 04:46:53.24538+00,2025-11-01 04:46:53.24538+00
eb59a5ac-bf0d-4b40-b097-af2c51b38e7c,16442b9c-02a7-408c-9231-2979e5f0d164,UDCA,Lab,Research Bugs,2025-11-01 04:46:29.739684+00,2025-11-01 04:46:29.739684+00