id,user_id,date,daily_count,created_at,updated_at
09016b7b-16bb-442f-ad1b-0fa37d7c66e9,c9b23c95-09e5-412e-b480-e18350db62f2,2025-12-18,1,2025-12-19 02:39:49.384405+00,2025-12-19 02:39:49.384405+00
0e5ccd2a-7bcb-4253-92ef-44dbc9816047,c9b23c95-09e5-412e-b480-e18350db62f2,2025-12-06,1,2025-12-07 04:04:55.205332+00,2025-12-07 04:04:55.205332+00
12fe9ed5-b556-4f53-be8b-91ead4adb7a8,fcca47ad-56ff-48fe-a6d6-5baec2db2bf0,2025-11-02,5,2025-11-02 19:37:42.046205+00,2025-11-02 20:02:44.647969+00
1d40d54b-902a-4abe-abb5-72749b6b9392,16442b9c-02a7-408c-9231-2979e5f0d164,2025-10-31,11,2025-11-01 04:46:29.530176+00,2025-11-01 04:46:53.179633+00
269faab4-b820-43d8-ac06-176a859a5ac5,c9b23c95-09e5-412e-b480-e18350db62f2,2025-11-03,2,2025-11-03 11:10:35.70181+00,2025-11-03 21:40:20.728593+00
29d500d0-1a7e-4561-a34d-39f5ad8e536b,c9b23c95-09e5-412e-b480-e18350db62f2,2025-10-30,4,2025-10-30 07:07:36.137078+00,2025-10-31 04:53:13.597848+00
2deee819-d1f8-46dc-8246-e1fa44ec7b69,c9b23c95-09e5-412e-b480-e18350db62f2,2025-12-02,1,2025-12-02 23:43:18.964156+00,2025-12-02 23:43:18.964156+00
2f9072a5-6dc1-4f99-8c4e-dd89dadf56f3,c9b23c95-09e5-412e-b480-e18350db62f2,2025-12-09,1,2025-12-10 02:21:04.366883+00,2025-12-10 02:21:04.366883+00
364fbf7b-0b82-407e-98c0-50fb11edfde5,c9b23c95-09e5-412e-b480-e18350db62f2,2025-10-29,1,2025-10-29 10:48:45.633803+00,2025-10-29 10:48:45.633803+00
3650b951-10d0-46cd-83de-b5196231fc48,c9b23c95-09e5-412e-b480-e18350db62f2,2025-10-07,3,2025-10-07 02:15:48.272616+00,2025-10-07 10:35:21.400555+00
3a3d2d56-624c-4087-8627-a91150b92f20,c9b23c95-09e5-412e-b480-e18350db62f2,2025-11-07,1,2025-11-08 01:47:51.866884+00,2025-11-08 01:47:51.866884+00
3d038460-08c0-4584-a1d7-fdbe955081aa,c9b23c95-09e5-412e-b480-e18350db62f2,2025-10-20,4,2025-10-20 15:17:05.007372+00,2025-10-20 15:17:49.430782+00
42218c0f-a017-4031-8198-8ab83aec840a,c9b23c95-09e5-412e-b480-e18350db62f2,2025-10-26,1,2025-10-26 07:31:11.55192+00,2025-10-26 07:34:23.37822+00
4587f97c-8e68-4661-88c9-0b3a3bead0ee,c9b23c95-09e5-412e-b480-e18350db62f2,2025-12-05,2,2025-12-06 06:41:43.726034+00,2025-12-06 06:42:46.217171+00
58f67f68-7962-4baf-9e20-a903573a848d,c9b23c95-09e5-412e-b480-e18350db62f2,2025-11-30,1,2025-12-01 04:06:09.732172+00,2025-12-01 04:06:09.732172+00
5b4e18c6-509e-4b84-bd82-0ac8e489b425,c9b23c95-09e5-412e-b480-e18350db62f2,2025-11-13,2,2025-11-13 09:39:14.761474+00,2025-11-13 09:39:40.44436+00
6b30d274-0b58-4164-96de-86490c20980c,c9b23c95-09e5-412e-b480-e18350db62f2,2025-10-31,2,2025-11-01 02:47:49.902622+00,2025-11-01 04:37:41.671375+00
6d1322c2-7ca7-4e8e-b719-de5c0820b459,c9b23c95-09e5-412e-b480-e18350db62f2,2025-11-16,3,2025-11-16 20:57:33.894729+00,2025-11-16 20:57:50.852708+00
6dd90f48-f288-425c-ac75-d05d848d3d8c,c9b23c95-09e5-412e-b480-e18350db62f2,2025-11-06,2,2025-11-06 08:50:44.135184+00,2025-11-06 22:26:59.278222+00
6e64c3c9-9eff-4a06-a885-28224194dcb3,c9b23c95-09e5-412e-b480-e18350db62f2,2025-10-24,3,2025-10-24 06:42:12.790042+00,2025-10-24 06:44:26.456415+00
6f8caab9-acc3-498f-96f9-6222ce53db1a,efc91dd3-4769-415c-b080-109891814e5b,2025-10-07,1,2025-10-07 02:40:26.34115+00,2025-10-07 02:40:26.34115+00
89b2668c-b1b9-4e0e-aebd-fc787c2fdeb8,c9b23c95-09e5-412e-b480-e18350db62f2,2025-12-10,13,2025-12-11 02:58:59.555297+00,2025-12-11 02:58:59.555297+00
937034a3-2a30-4593-84ae-1be8dfbe36ec,c9b23c95-09e5-412e-b480-e18350db62f2,2025-12-12,1,2025-12-12 20:15:37.404469+00,2025-12-12 20:15:37.404469+00
9fdce6bf-840e-4552-86ce-d70963704cf4,c9b23c95-09e5-412e-b480-e18350db62f2,2025-11-01,2,2025-11-01 19:13:54.4368+00,2025-11-01 19:13:57.476011+00
a79f30c9-c60b-4638-bb85-306ece9fc64c,c9b23c95-09e5-412e-b480-e18350db62f2,2025-10-23,0,2025-10-23 08:43:51.225971+00,2025-10-23 08:43:51.225971+00
a80c52bb-dfad-4fe5-8894-c3a34bd0f0e1,c9b23c95-09e5-412e-b480-e18350db62f2,2025-10-11,1,2025-10-11 23:37:00.123167+00,2025-10-11 23:37:00.123167+00
ac4253f8-6d02-46ff-88a1-62e83602dadf,c9b23c95-09e5-412e-b480-e18350db62f2,2025-10-08,3,2025-10-08 20:09:05.707513+00,2025-10-08 23:35:08.021088+00
ac60e20b-6f3a-4943-8c36-66c5a938ed36,c9b23c95-09e5-412e-b480-e18350db62f2,2025-10-28,10,2025-10-28 00:33:19.774104+00,2025-10-28 23:05:18.956093+00
b12f0d9e-7f89-41ee-af88-6b9594969c40,c9b23c95-09e5-412e-b480-e18350db62f2,2025-11-04,2,2025-11-05 00:01:25.261031+00,2025-11-05 00:20:18.920306+00
b2dd3594-9a07-4d9e-9f64-78cdc930b2e3,c9b23c95-09e5-412e-b480-e18350db62f2,2025-11-17,1,2025-11-17 23:36:36.619811+00,2025-11-17 23:36:36.619811+00
be4a0e93-4dd0-4fb7-9013-cac31dfcd291,c9b23c95-09e5-412e-b480-e18350db62f2,2025-11-10,4,2025-11-10 22:17:36.901798+00,2025-11-11 02:14:22.968797+00
d39bea36-8585-470f-b67b-35be06f75855,c9b23c95-09e5-412e-b480-e18350db62f2,2025-12-11,4,2025-12-12 06:39:14.324732+00,2025-12-12 06:39:14.324732+00
e5d49c41-c656-433e-9d93-5ff564b2a84f,c9b23c95-09e5-412e-b480-e18350db62f2,2025-12-01,1,2025-12-01 23:14:16.743081+00,2025-12-01 23:14:16.743081+00
e5e5eec8-2b79-42a9-8061-2538d05009b1,c9b23c95-09e5-412e-b480-e18350db62f2,2025-12-03,1,2025-12-03 10:07:29.563468+00,2025-12-03 10:07:34.131157+00
f7cfb86b-039e-4d15-9e39-9ad6a820f6c6,c9b23c95-09e5-412e-b480-e18350db62f2,2025-10-13,2,2025-10-13 06:01:35.366936+00,2025-10-13 21:17:58.760955+00
fbd2edaa-a705-405b-8f2c-c372e3ecd878,c9b23c95-09e5-412e-b480-e18350db62f2,2025-12-08,7,2025-12-09 00:07:10.933195+00,2025-12-09 05:02:33.726288+00
fddea41c-1258-4ee6-b0f2-ed77a2af5a2a,7836f34c-275b-46fa-aa92-7d18edf1fcc2,2025-10-07,0,2025-10-07 05:52:06.315619+00,2025-10-07 19:32:20.246835+00
ff5b284e-6662-4181-a249-f97c22483fb6,c9b23c95-09e5-412e-b480-e18350db62f2,2025-11-24,6,2025-11-24 10:17:56.37354+00,2025-11-25 02:28:45.448315+00